what,kind,bundleId,bundleVersion,description,time
executed,command,com.mulgasoft.emacsplus,3.6.5,"com.mulgasoft.emacsplus.forwardChar",1355443813193
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1355443814304
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1355443817360
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355443821012
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355443822098
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1355443822687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355443824651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355443831969
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355443832380
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1355443847286
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.columnNext",1355443848672
executed,command,com.mulgasoft.emacsplus,3.6.5,"com.mulgasoft.emacsplus.forwardChar",1355443848672
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1355443850422
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1355443851164
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355443852923
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355443857690
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355443860302
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355443877498
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355443878050
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1355443912734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355443913851
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355443922789
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355443923165
executed,command,com.mulgasoft.emacsplus,3.6.5,"com.mulgasoft.emacsplus.isearchForward",1355443929091
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1355443937522
executed,command,com.mulgasoft.emacsplus,3.6.5,"com.mulgasoft.emacsplus.beginLine",1355443937522
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1355443937952
executed,command,com.mulgasoft.emacsplus,3.6.5,"com.mulgasoft.emacsplus.beginLine",1355443937952
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.cut.line.to.end",1355443938402
